From,To,Cost
A,A,14912.90861
A,B,2.216435846
A,C,2.262453788
A,D,5.005900975
A,E,3.988612441
A,F,5.28851248
B,A,2.216435846
B,B,14912.90861
B,C,0.960071948
B,D,2.910582817
B,E,2.015760782
B,F,3.411052403
C,A,2.262453788
C,B,0.960071948
C,C,14912.90861
C,D,2.859752733
C,E,1.964607234
C,F,3.360222319
D,A,5.005900975
D,B,2.910582817
D,C,2.859752733
D,D,14912.90861
D,E,1.471865275
D,F,0.500469586
E,A,3.988612441
E,B,2.015760782
E,C,1.964607234
E,D,1.471865275
E,E,14912.90861
E,F,1.446045238
F,A,5.28851248
F,B,3.411052403
F,C,3.360222319
F,D,0.500469586
F,E,1.446045238
F,F,14912.90861
